,Date,Time,Hours,Minutes,Month,Power,Status,Week Day,Weekend or weekday,Part of the day
199178,2022-01-04,18:45:00,18,45,1,0,W,Tuesday,Workday,Afternoon
199179,2022-01-04,19:00:00,19,0,1,0,W,Tuesday,Workday,Afternoon
199180,2022-01-04,19:15:00,19,15,1,0,W,Tuesday,Workday,Afternoon
199181,2022-01-04,19:30:00,19,30,1,0,W,Tuesday,Workday,Afternoon
199182,2022-01-04,19:45:00,19,45,1,0,W,Tuesday,Workday,Afternoon
199183,2022-01-04,20:00:00,20,0,1,0,W,Tuesday,Workday,Night
199184,2022-01-04,20:15:00,20,15,1,0,W,Tuesday,Workday,Night
199185,2022-01-04,20:30:00,20,30,1,0,W,Tuesday,Workday,Night
199186,2022-01-04,20:45:00,20,45,1,0,W,Tuesday,Workday,Night
199187,2022-01-04,21:00:00,21,0,1,0,W,Tuesday,Workday,Night
199188,2022-01-04,21:15:00,21,15,1,0,W,Tuesday,Workday,Night
199189,2022-01-04,21:30:00,21,30,1,0,W,Tuesday,Workday,Night
199190,2022-01-04,21:45:00,21,45,1,0,W,Tuesday,Workday,Night
199191,2022-01-04,22:00:00,22,0,1,0,W,Tuesday,Workday,Night
199192,2022-01-04,22:15:00,22,15,1,0,W,Tuesday,Workday,Night
199193,2022-01-04,22:30:00,22,30,1,0,W,Tuesday,Workday,Night
199194,2022-01-04,22:45:00,22,45,1,0,W,Tuesday,Workday,Night
199195,2022-01-04,23:00:00,23,0,1,0,W,Tuesday,Workday,Night
199196,2022-01-04,23:15:00,23,15,1,0,W,Tuesday,Workday,Night
199197,2022-01-04,23:30:00,23,30,1,0,W,Tuesday,Workday,Night
199198,2022-01-04,23:45:00,23,45,1,0,W,Tuesday,Workday,Night
199199,2022-01-05,00:00:00,0,0,1,0,W,Wednesday,Workday,Night
