Date, Time,Power
23.07.2022,14:30:00,792
23.07.2022,14:45:00,920
23.07.2022,15:00:00,953.6
23.07.2022,15:15:00,569.6
23.07.2022,15:30:00,859.2
23.07.2022,15:45:00,708.8
23.07.2022,16:00:00,734.4
23.07.2022,16:15:00,662.4
23.07.2022,16:30:00,777.6
23.07.2022,16:45:00,427.2
23.07.2022,17:00:00,382.4
23.07.2022,17:15:00,516.8
23.07.2022,17:30:00,540.8
23.07.2022,17:45:00,616
23.07.2022,18:00:00,312
23.07.2022,18:15:00,513.6
23.07.2022,18:30:00,456
23.07.2022,18:45:00,369.6
23.07.2022,19:00:00,304
23.07.2022,19:15:00,248
23.07.2022,19:30:00,142.4
23.07.2022,19:45:00,68.8
23.07.2022,20:00:00,49.6
23.07.2022,20:15:00,48
23.07.2022,20:30:00,36.8
23.07.2022,20:45:00,20.8
23.07.2022,21:00:00,8
23.07.2022,21:15:00,0
23.07.2022,21:30:00,0
23.07.2022,21:45:00,0
23.07.2022,22:00:00,0
23.07.2022,22:15:00,0
23.07.2022,22:30:00,0
23.07.2022,22:45:00,0
23.07.2022,23:00:00,0
23.07.2022,23:15:00,0
23.07.2022,23:30:00,0
23.07.2022,23:45:00,0
24.07.2022,00:00:00,0
24.07.2022,00:15:00,0
24.07.2022,00:30:00,0
24.07.2022,00:45:00,0
24.07.2022,01:00:00,0
24.07.2022,01:15:00,0
24.07.2022,01:30:00,0
24.07.2022,01:45:00,0
24.07.2022,02:00:00,0
24.07.2022,02:15:00,0
24.07.2022,02:30:00,0
24.07.2022,02:45:00,0
24.07.2022,03:00:00,0
24.07.2022,03:15:00,0
24.07.2022,03:30:00,0
24.07.2022,03:45:00,0
24.07.2022,04:00:00,0
24.07.2022,04:15:00,0
24.07.2022,04:30:00,0
24.07.2022,04:45:00,0
24.07.2022,05:00:00,0
24.07.2022,05:15:00,0
24.07.2022,05:30:00,0
24.07.2022,05:45:00,0
24.07.2022,06:00:00,8
24.07.2022,06:15:00,19.2
24.07.2022,06:30:00,36.8
24.07.2022,06:45:00,60.8
24.07.2022,07:00:00,84.8
24.07.2022,07:15:00,124.8
24.07.2022,07:30:00,166.4
24.07.2022,07:45:00,208
24.07.2022,08:00:00,267.2
24.07.2022,08:15:00,336
24.07.2022,08:30:00,403.2
24.07.2022,08:45:00,475.2
24.07.2022,09:00:00,552
24.07.2022,09:15:00,620.8
24.07.2022,09:30:00,686.4
24.07.2022,09:45:00,750.4
24.07.2022,10:00:00,820.8
24.07.2022,10:15:00,880
24.07.2022,10:30:00,892.8
